Plate,Well,F0,Fmax,DFF
M0022,E09,462,2007,3.344155844
M0022,E10,407,436,0.071253071
M0022,E11,937,3763,3.016008538
M0022,E12,1982,5269,1.658425832
M0022,F01,635,5978,8.414173228
M0022,F02,5504,7707,0.40025436
M0022,F03,3333,4073,0.222022202
M0022,F04,516,3097,5.001937984
M0022,F05,1258,3481,1.76709062
M0022,F06,1231,5448,3.425670187
M0022,F07,449,2345,4.222717149
M0022,F08,2326,5593,1.40455718
M0022,F09,230,2915,11.67391304
M0022,F10,326,2272,5.969325153
M0022,F11,95,1552,15.33684211
M0022,F12,2364,5801,1.453891709
M0022,G01,400,4415,10.0375
M0022,G02,9068,12405,0.367997353
M0022,G03,227,2296,9.114537445
M0022,G04,1715,2973,0.733527697
M0022,G05,1096,3666,2.344890511
M0022,G06,2659,4071,0.531026702
M0022,G07,1427,4471,2.133146461
M0022,G08,545,2918,4.35412844
M0022,G09,3422,3992,0.166569258
M0022,G10,743,882,0.187079408
M0022,G11,77,829,9.766233766
M0022,G12,466,2977,5.388412017
M0022,H01,5028,11650,1.317024662
M0022,H02,2113,7523,2.560340748
M0022,H03,363,4178,10.50964187
M0022,H04,4672,7170,0.534674658
M0022,H05,2911,6113,1.099965648
M0022,H06,2147,6392,1.977177457
M0022,H07,5003,7591,0.517289626
M0022,H08,5720,7426,0.298251748
M0022,H09,3305,6686,1.022995461
M0022,H10,860,3965,3.610465116
M0022,H11,2400,5914,1.464166667
M0022,H12,522,3877,6.427203065
M0023,A01,3748,5430,0.448772679
M0023,A02,3202,7124,1.224859463
M0023,A03,301,2902,8.641196013
M0023,A04,263,1981,6.532319392
M0023,A05,1394,3531,1.532998565
M0023,A06,369,4061,10.00542005
M0023,A07,344,2392,5.953488372
M0023,A08,3736,5902,0.579764454
M0023,A09,1885,5715,2.031830239
M0023,A10,2135,4355,1.039812646
M0023,A11,3832,5914,0.543319415
M0023,A12,475,3267,5.877894737
M0023,B01,3259,4744,0.455661246
M0023,B02,3586,5573,0.554099275
M0023,B03,1725,2661,0.542608696
M0023,B04,261,1343,4.14559387
M0023,B05,1451,4322,1.978635424
M0023,B06,693,2319,2.346320346
M0023,B07,261,3115,10.9348659
M0023,B08,2346,4062,0.731457801
M0023,B09,2710,4549,0.678597786
M0023,B10,3061,4491,0.467167592
M0023,B11,5257,7492,0.425147422
M0023,B12,468,2258,3.824786325
M0023,C01,2286,3826,0.673665792
M0023,C02,366,3566,8.743169399
M0023,C03,702,1296,0.846153846
M0023,C04,441,3013,5.832199546
M0023,C05,1390,3617,1.602158273
M0023,C06,236,1412,4.983050847
M0023,C07,135,1702,11.60740741
M0023,C08,215,2217,9.311627907
M0023,C09,686,2705,2.943148688
M0023,C10,1245,3630,1.915662651
M0023,C11,2615,3794,0.450860421
M0023,C12,2921,3261,0.116398494
M0023,D01,435,4823,10.08735632
M0023,D02,831,3572,3.29843562
M0023,D03,131,2027,14.47328244
M0023,D04,128,1878,13.671875
M0023,D05,1194,3696,2.095477387
M0023,D06,1033,3263,2.158760891
M0023,D07,43,537,11.48837209
M0023,D08,163,1597,8.797546012
M0023,D09,643,1177,0.830482115
M0023,D10,611,2831,3.633387889
M0023,D11,442,2328,4.266968326
M0023,D12,274,3073,10.21532847
M0023,E01,5652,8020,0.418966737
M0023,E02,1448,5685,2.926104972
M0023,E03,84,1324,14.76190476
M0023,E04,2863,4569,0.595878449
M0023,E05,1118,4101,2.668157424
M0023,E06,155,652,3.206451613
M0023,E07,164,2089,11.73780488
M0023,E08,275,2730,8.927272727
M0023,E09,654,1875,1.866972477
M0023,E10,399,2488,5.235588972
M0023,E11,612,3903,5.37745098
M0023,E12,705,3280,3.65248227
M0023,F01,2578,5672,1.200155159
M0023,F02,711,2924,3.112517581
M0023,F03,1965,4521,1.300763359
M0023,F04,2525,4077,0.614653465
M0023,F05,193,869,3.502590674
M0023,F06,454,1865,3.107929515
M0023,F07,364,1580,3.340659341
M0023,F08,2500,4051,0.6204
M0023,F09,237,1886,6.957805907
M0023,F10,574,2636,3.592334495
M0023,F11,830,2060,1.481927711
M0023,F12,501,1562,2.117764471
M0023,G01,1164,5478,3.706185567
M0023,G02,1954,4910,1.512794268
M0023,G03,2093,4675,1.233635929
M0023,G04,1903,2985,0.568575933
M0023,G05,2646,4166,0.574452003
M0023,G06,56,242,3.321428571
M0023,G07,216,1045,3.837962963
M0023,G08,97,419,3.319587629
M0023,G09,3662,5733,0.565537957
M0023,G10,667,2128,2.190404798
M0023,G11,407,1797,3.415233415
M0023,G12,1295,5736,3.429343629
M0023,H01,6479,14900,1.299737614
M0023,H02,3693,9298,1.517736258
M0023,H03,566,3846,5.795053004
M0023,H04,554,5331,8.622743682
M0023,H05,5349,5871,0.097588334
M0023,H06,1601,3198,0.997501562
M0023,H07,2469,6171,1.499392467
M0023,H08,51,222,3.352941176
M0023,H09,795,3352,3.216352201
M0023,H10,3359,7136,1.124441798
M0023,H11,549,5885,9.719489982
M0023,H12,6278,11043,0.758999681
M0024,A01,254,496,0.952755906
M0024,A02,10002,19459,0.945510898
M0024,A03,1609,6795,3.22311995
M0024,A04,914,4430,3.846827133
M0024,A05,2971,11195,2.768091552
M0024,A06,444,4662,9.5
M0024,A07,766,6695,7.740208877
M0024,A08,5292,11911,1.250755858
M0024,A09,2129,3579,0.681070925
M0024,A10,8761,9837,0.12281703
M0024,A11,3085,7203,1.334846029
M0024,A12,11215,15866,0.414712439
M0024,B01,266,532,1
M0024,B02,9964,19165,0.923424328
M0024,B03,1555,6031,2.878456592
M0024,B04,897,4257,3.745819398
M0024,B05,3000,11351,2.783666667
M0024,B06,425,3966,8.331764706
M0024,B07,719,6781,8.431154381
M0024,B08,5070,11399,1.248323471
M0024,B09,1966,3244,0.650050865
M0024,B10,8600,9650,0.122093023
M0024,B11,3070,6700,1.182410423
M0024,B12,10673,15260,0.42977607
M0024,C01,229,411,0.794759825
M0024,C02,0,1,0
M0024,C03,1112,4753,3.274280576
M0024,C04,0,1,0
M0024,C05,1,1,0
M0024,C06,434,4172,8.612903226
M0024,C07,769,6529,7.490247074
M0024,C08,4840,10890,1.25
M0024,C09,2030,3160,0.556650246
M0024,C10,8700,9593,0.102643678
M0024,C11,3070,7308,1.380456026
M0024,C12,11255,15849,0.408174145
M0024,D01,14022,22021,0.570460705
M0024,D02,6077,8743,0.438703308
M0024,D03,3271,10698,2.270559462
M0024,D04,693,2659,2.836940837
M0024,D05,6780,12706,0.874041298
M0024,D06,580,2197,2.787931034
M0024,D07,427,2545,4.960187354
M0024,D08,375,2966,6.909333333
M0024,D09,355,3158,7.895774648
M0024,D10,312,2564,7.217948718
M0024,D11,1294,6552,4.063369397
M0024,D12,906,5396,4.95584989
M0024,E01,3287,16612,4.053848494
M0024,E02,11806,14846,0.257496188
M0024,E03,1233,6469,4.246553122
M0024,E04,1209,5976,3.94292804
M0024,E05,4840,10507,1.170867769
M0024,E06,2235,5063,1.265324385
M0024,E07,5591,11186,1.000715436
M0024,E08,1364,5797,3.25
M0024,E09,4888,6755,0.38195581
M0024,E10,1074,4268,2.973929236
M0024,E11,259,2854,10.01930502
M0024,E12,1506,6653,3.417662683
M0024,F01,2822,10703,2.792700213
M0024,F02,8561,12916,0.508702254
